cell (0,1);cell (2,1);cell (3,1);cell (4,1);cell (5,1);cell (6,1);cell (7,1);cell (8,1);cell (9,1);cell (10,1);cell (11,1);cell (12,1);cell (13,1);cell (14,1);cell (15,1);cell (16,1);cell (17,1);cell (18,1);cell (19,1);cell (20,1);cell (21,1);cell (22,1);cell (23,1);cell (24,1);cell (25,1);cell (26,1);cell (27,1);cell (28,1);cell (29,1);cell (30,1);cell (31,1);cell (32,1);cell (33,1);cell (34,1);cell (35,1);cell (36,1);cell (37,1);cell (38,1);cell (39,1);cell (40,1);cell (41,1);cell (42,1);cell (43,1);cell (44,1);cell (45,1);cell (46,1);cell (47,1);cell (48,1);cell (49,1);cell (50,1);cell (51,1);cell (52,1);cell (53,1);cell (54,1);cell (55,1);cell (56,1);cell (57,1);cell (58,1);cell (59,1);cell (60,1);cell (61,1);cell (62,1);cell (63,1);cell (64,1);cell (65,1);cell (66,1);cell (67,1);cell (68,1);cell (69,1);cell (70,1);cell (71,1);cell (72,1);cell (73,1);cell (74,1);cell (75,1);cell (76,1);cell (77,1);cell (78,1);cell (79,1);cell (80,1);cell (81,1);cell (82,1);cell (83,1);cell (84,1);cell (85,1);cell (86,1);cell (87,1);cell (88,1);cell (89,1);cell (90,1);cell (91,1);cell (92,1);cell (93,1);cell (94,1);cell (95,1);cell (96,1);cell (97,1);cell (98,1);cell (99,1);cell (100,1)
cell (0,66);cell (2,66);cell (3,66);cell (4,66);cell (5,66);cell (6,66);cell (7,66);cell (8,66);cell (9,66);cell (10,66);cell (11,66);cell (12,66);cell (13,66);cell (14,66);cell (15,66);cell (16,66);cell (17,66);cell (18,66);cell (19,66);cell (20,66);cell (21,66);cell (22,66);cell (23,66);cell (24,66);cell (25,66);cell (26,66);cell (27,66);cell (28,66);cell (29,66);cell (30,66);cell (31,66);cell (32,66);cell (33,66);cell (34,66);cell (35,66);cell (36,66);cell (37,66);cell (38,66);cell (39,66);cell (40,66);cell (41,66);cell (42,66);cell (43,66);cell (44,66);cell (45,66);cell (46,66);cell (47,66);cell (48,66);cell (49,66);cell (50,66);cell (51,66);cell (52,66);cell (53,66);cell (54,66);cell (55,66);cell (56,66);cell (57,66);cell (58,66);cell (59,66);cell (60,66);cell (61,66);cell (62,66);cell (63,66);cell (64,66);cell (65,66);cell (66,66);cell (67,66);cell (68,66);cell (69,66);cell (70,66);cell (71,66);cell (72,66);cell (73,66);cell (74,66);cell (75,66);cell (76,66);cell (77,66);cell (78,66);cell (79,66);cell (80,66);cell (81,66);cell (82,66);cell (83,66);cell (84,66);cell (85,66);cell (86,66);cell (87,66);cell (88,66);cell (89,66);cell (90,66);cell (91,66);cell (92,66);cell (93,66);cell (94,66);cell (95,66);cell (96,66);cell (97,66);cell (98,66);cell (99,66);cell (100,66)
cell (0,67);cell (2,67);cell (3,67);cell (4,67);cell (5,67);cell (6,67);cell (7,67);cell (8,67);cell (9,67);cell (10,67);cell (11,67);cell (12,67);cell (13,67);cell (14,67);cell (15,67);cell (16,67);cell (17,67);cell (18,67);cell (19,67);cell (20,67);cell (21,67);cell (22,67);cell (23,67);cell (24,67);cell (25,67);cell (26,67);cell (27,67);cell (28,67);cell (29,67);cell (30,67);cell (31,67);cell (32,67);cell (33,67);cell (34,67);cell (35,67);cell (36,67);cell (37,67);cell (38,67);cell (39,67);cell (40,67);cell (41,67);cell (42,67);cell (43,67);cell (44,67);cell (45,67);cell (46,67);cell (47,67);cell (48,67);cell (49,67);cell (50,67);cell (51,67);cell (52,67);cell (53,67);cell (54,67);cell (55,67);cell (56,67);cell (57,67);cell (58,67);cell (59,67);cell (60,67);cell (61,67);cell (62,67);cell (63,67);cell (64,67);cell (65,67);cell (66,67);cell (67,67);cell (68,67);cell (69,67);cell (70,67);cell (71,67);cell (72,67);cell (73,67);cell (74,67);cell (75,67);cell (76,67);cell (77,67);cell (78,67);cell (79,67);cell (80,67);cell (81,67);cell (82,67);cell (83,67);cell (84,67);cell (85,67);cell (86,67);cell (87,67);cell (88,67);cell (89,67);cell (90,67);cell (91,67);cell (92,67);cell (93,67);cell (94,67);cell (95,67);cell (96,67);cell (97,67);cell (98,67);cell (99,67);cell (100,67)
cell (0,68);cell (2,68);cell (3,68);cell (4,68);cell (5,68);cell (6,68);cell (7,68);cell (8,68);cell (9,68);cell (10,68);cell (11,68);cell (12,68);cell (13,68);cell (14,68);cell (15,68);cell (16,68);cell (17,68);cell (18,68);cell (19,68);cell (20,68);cell (21,68);cell (22,68);cell (23,68);cell (24,68);cell (25,68);cell (26,68);cell (27,68);cell (28,68);cell (29,68);cell (30,68);cell (31,68);cell (32,68);cell (33,68);cell (34,68);cell (35,68);cell (36,68);cell (37,68);cell (38,68);cell (39,68);cell (40,68);cell (41,68);cell (42,68);cell (43,68);cell (44,68);cell (45,68);cell (46,68);cell (47,68);cell (48,68);cell (49,68);cell (50,68);cell (51,68);cell (52,68);cell (53,68);cell (54,68);cell (55,68);cell (56,68);cell (57,68);cell (58,68);cell (59,68);cell (60,68);cell (61,68);cell (62,68);cell (63,68);cell (64,68);cell (65,68);cell (66,68);cell (67,68);cell (68,68);cell (69,68);cell (70,68);cell (71,68);cell (72,68);cell (73,68);cell (74,68);cell (75,68);cell (76,68);cell (77,68);cell (78,68);cell (79,68);cell (80,68);cell (81,68);cell (82,68);cell (83,68);cell (84,68);cell (85,68);cell (86,68);cell (87,68);cell (88,68);cell (89,68);cell (90,68);cell (91,68);cell (92,68);cell (93,68);cell (94,68);cell (95,68);cell (96,68);cell (97,68);cell (98,68);cell (99,68);cell (100,68)
cell (0,69);cell (2,69);cell (3,69);cell (4,69);cell (5,69);cell (6,69);cell (7,69);cell (8,69);cell (9,69);cell (10,69);cell (11,69);cell (12,69);cell (13,69);cell (14,69);cell (15,69);cell (16,69);cell (17,69);cell (18,69);cell (19,69);cell (20,69);cell (21,69);cell (22,69);cell (23,69);cell (24,69);cell (25,69);cell (26,69);cell (27,69);cell (28,69);cell (29,69);cell (30,69);cell (31,69);cell (32,69);cell (33,69);cell (34,69);cell (35,69);cell (36,69);cell (37,69);cell (38,69);cell (39,69);cell (40,69);cell (41,69);cell (42,69);cell (43,69);cell (44,69);cell (45,69);cell (46,69);cell (47,69);cell (48,69);cell (49,69);cell (50,69);cell (51,69);cell (52,69);cell (53,69);cell (54,69);cell (55,69);cell (56,69);cell (57,69);cell (58,69);cell (59,69);cell (60,69);cell (61,69);cell (62,69);cell (63,69);cell (64,69);cell (65,69);cell (66,69);cell (67,69);cell (68,69);cell (69,69);cell (70,69);cell (71,69);cell (72,69);cell (73,69);cell (74,69);cell (75,69);cell (76,69);cell (77,69);cell (78,69);cell (79,69);cell (80,69);cell (81,69);cell (82,69);cell (83,69);cell (84,69);cell (85,69);cell (86,69);cell (87,69);cell (88,69);cell (89,69);cell (90,69);cell (91,69);cell (92,69);cell (93,69);cell (94,69);cell (95,69);cell (96,69);cell (97,69);cell (98,69);cell (99,69);cell (100,69)
cell (0,70);cell (2,70);cell (3,70);cell (4,70);cell (5,70);cell (6,70);cell (7,70);cell (8,70);cell (9,70);cell (10,70);cell (11,70);cell (12,70);cell (13,70);cell (14,70);cell (15,70);cell (16,70);cell (17,70);cell (18,70);cell (19,70);cell (20,70);cell (21,70);cell (22,70);cell (23,70);cell (24,70);cell (25,70);cell (26,70);cell (27,70);cell (28,70);cell (29,70);cell (30,70);cell (31,70);cell (32,70);cell (33,70);cell (34,70);cell (35,70);cell (36,70);cell (37,70);cell (38,70);cell (39,70);cell (40,70);cell (41,70);cell (42,70);cell (43,70);cell (44,70);cell (45,70);cell (46,70);cell (47,70);cell (48,70);cell (49,70);cell (50,70);cell (51,70);cell (52,70);cell (53,70);cell (54,70);cell (55,70);cell (56,70);cell (57,70);cell (58,70);cell (59,70);cell (60,70);cell (61,70);cell (62,70);cell (63,70);cell (64,70);cell (65,70);cell (66,70);cell (67,70);cell (68,70);cell (69,70);cell (70,70);cell (71,70);cell (72,70);cell (73,70);cell (74,70);cell (75,70);cell (76,70);cell (77,70);cell (78,70);cell (79,70);cell (80,70);cell (81,70);cell (82,70);cell (83,70);cell (84,70);cell (85,70);cell (86,70);cell (87,70);cell (88,70);cell (89,70);cell (90,70);cell (91,70);cell (92,70);cell (93,70);cell (94,70);cell (95,70);cell (96,70);cell (97,70);cell (98,70);cell (99,70);cell (100,70)
cell (0,71);cell (2,71);cell (3,71);cell (4,71);cell (5,71);cell (6,71);cell (7,71);cell (8,71);cell (9,71);cell (10,71);cell (11,71);cell (12,71);cell (13,71);cell (14,71);cell (15,71);cell (16,71);cell (17,71);cell (18,71);cell (19,71);cell (20,71);cell (21,71);cell (22,71);cell (23,71);cell (24,71);cell (25,71);cell (26,71);cell (27,71);cell (28,71);cell (29,71);cell (30,71);cell (31,71);cell (32,71);cell (33,71);cell (34,71);cell (35,71);cell (36,71);cell (37,71);cell (38,71);cell (39,71);cell (40,71);cell (41,71);cell (42,71);cell (43,71);cell (44,71);cell (45,71);cell (46,71);cell (47,71);cell (48,71);cell (49,71);cell (50,71);cell (51,71);cell (52,71);cell (53,71);cell (54,71);cell (55,71);cell (56,71);cell (57,71);cell (58,71);cell (59,71);cell (60,71);cell (61,71);cell (62,71);cell (63,71);cell (64,71);cell (65,71);cell (66,71);cell (67,71);cell (68,71);cell (69,71);cell (70,71);cell (71,71);cell (72,71);cell (73,71);cell (74,71);cell (75,71);cell (76,71);cell (77,71);cell (78,71);cell (79,71);cell (80,71);cell (81,71);cell (82,71);cell (83,71);cell (84,71);cell (85,71);cell (86,71);cell (87,71);cell (88,71);cell (89,71);cell (90,71);cell (91,71);cell (92,71);cell (93,71);cell (94,71);cell (95,71);cell (96,71);cell (97,71);cell (98,71);cell (99,71);cell (100,71)
cell (0,72);cell (2,72);cell (3,72);cell (4,72);cell (5,72);cell (6,72);cell (7,72);cell (8,72);cell (9,72);cell (10,72);cell (11,72);cell (12,72);cell (13,72);cell (14,72);cell (15,72);cell (16,72);cell (17,72);cell (18,72);cell (19,72);cell (20,72);cell (21,72);cell (22,72);cell (23,72);cell (24,72);cell (25,72);cell (26,72);cell (27,72);cell (28,72);cell (29,72);cell (30,72);cell (31,72);cell (32,72);cell (33,72);cell (34,72);cell (35,72);cell (36,72);cell (37,72);cell (38,72);cell (39,72);cell (40,72);cell (41,72);cell (42,72);cell (43,72);cell (44,72);cell (45,72);cell (46,72);cell (47,72);cell (48,72);cell (49,72);cell (50,72);cell (51,72);cell (52,72);cell (53,72);cell (54,72);cell (55,72);cell (56,72);cell (57,72);cell (58,72);cell (59,72);cell (60,72);cell (61,72);cell (62,72);cell (63,72);cell (64,72);cell (65,72);cell (66,72);cell (67,72);cell (68,72);cell (69,72);cell (70,72);cell (71,72);cell (72,72);cell (73,72);cell (74,72);cell (75,72);cell (76,72);cell (77,72);cell (78,72);cell (79,72);cell (80,72);cell (81,72);cell (82,72);cell (83,72);cell (84,72);cell (85,72);cell (86,72);cell (87,72);cell (88,72);cell (89,72);cell (90,72);cell (91,72);cell (92,72);cell (93,72);cell (94,72);cell (95,72);cell (96,72);cell (97,72);cell (98,72);cell (99,72);cell (100,72)
cell (0,73);cell (2,73);cell (3,73);cell (4,73);cell (5,73);cell (6,73);cell (7,73);cell (8,73);cell (9,73);cell (10,73);cell (11,73);cell (12,73);cell (13,73);cell (14,73);cell (15,73);cell (16,73);cell (17,73);cell (18,73);cell (19,73);cell (20,73);cell (21,73);cell (22,73);cell (23,73);cell (24,73);cell (25,73);cell (26,73);cell (27,73);cell (28,73);cell (29,73);cell (30,73);cell (31,73);cell (32,73);cell (33,73);cell (34,73);cell (35,73);cell (36,73);cell (37,73);cell (38,73);cell (39,73);cell (40,73);cell (41,73);cell (42,73);cell (43,73);cell (44,73);cell (45,73);cell (46,73);cell (47,73);cell (48,73);cell (49,73);cell (50,73);cell (51,73);cell (52,73);cell (53,73);cell (54,73);cell (55,73);cell (56,73);cell (57,73);cell (58,73);cell (59,73);cell (60,73);cell (61,73);cell (62,73);cell (63,73);cell (64,73);cell (65,73);cell (66,73);cell (67,73);cell (68,73);cell (69,73);cell (70,73);cell (71,73);cell (72,73);cell (73,73);cell (74,73);cell (75,73);cell (76,73);cell (77,73);cell (78,73);cell (79,73);cell (80,73);cell (81,73);cell (82,73);cell (83,73);cell (84,73);cell (85,73);cell (86,73);cell (87,73);cell (88,73);cell (89,73);cell (90,73);cell (91,73);cell (92,73);cell (93,73);cell (94,73);cell (95,73);cell (96,73);cell (97,73);cell (98,73);cell (99,73);cell (100,73)
cell (0,74);cell (2,74);cell (3,74);cell (4,74);cell (5,74);cell (6,74);cell (7,74);cell (8,74);cell (9,74);cell (10,74);cell (11,74);cell (12,74);cell (13,74);cell (14,74);cell (15,74);cell (16,74);cell (17,74);cell (18,74);cell (19,74);cell (20,74);cell (21,74);cell (22,74);cell (23,74);cell (24,74);cell (25,74);cell (26,74);cell (27,74);cell (28,74);cell (29,74);cell (30,74);cell (31,74);cell (32,74);cell (33,74);cell (34,74);cell (35,74);cell (36,74);cell (37,74);cell (38,74);cell (39,74);cell (40,74);cell (41,74);cell (42,74);cell (43,74);cell (44,74);cell (45,74);cell (46,74);cell (47,74);cell (48,74);cell (49,74);cell (50,74);cell (51,74);cell (52,74);cell (53,74);cell (54,74);cell (55,74);cell (56,74);cell (57,74);cell (58,74);cell (59,74);cell (60,74);cell (61,74);cell (62,74);cell (63,74);cell (64,74);cell (65,74);cell (66,74);cell (67,74);cell (68,74);cell (69,74);cell (70,74);cell (71,74);cell (72,74);cell (73,74);cell (74,74);cell (75,74);cell (76,74);cell (77,74);cell (78,74);cell (79,74);cell (80,74);cell (81,74);cell (82,74);cell (83,74);cell (84,74);cell (85,74);cell (86,74);cell (87,74);cell (88,74);cell (89,74);cell (90,74);cell (91,74);cell (92,74);cell (93,74);cell (94,74);cell (95,74);cell (96,74);cell (97,74);cell (98,74);cell (99,74);cell (100,74)
cell (0,75);cell (2,75);cell (3,75);cell (4,75);cell (5,75);cell (6,75);cell (7,75);cell (8,75);cell (9,75);cell (10,75);cell (11,75);cell (12,75);cell (13,75);cell (14,75);cell (15,75);cell (16,75);cell (17,75);cell (18,75);cell (19,75);cell (20,75);cell (21,75);cell (22,75);cell (23,75);cell (24,75);cell (25,75);cell (26,75);cell (27,75);cell (28,75);cell (29,75);cell (30,75);cell (31,75);cell (32,75);cell (33,75);cell (34,75);cell (35,75);cell (36,75);cell (37,75);cell (38,75);cell (39,75);cell (40,75);cell (41,75);cell (42,75);cell (43,75);cell (44,75);cell (45,75);cell (46,75);cell (47,75);cell (48,75);cell (49,75);cell (50,75);cell (51,75);cell (52,75);cell (53,75);cell (54,75);cell (55,75);cell (56,75);cell (57,75);cell (58,75);cell (59,75);cell (60,75);cell (61,75);cell (62,75);cell (63,75);cell (64,75);cell (65,75);cell (66,75);cell (67,75);cell (68,75);cell (69,75);cell (70,75);cell (71,75);cell (72,75);cell (73,75);cell (74,75);cell (75,75);cell (76,75);cell (77,75);cell (78,75);cell (79,75);cell (80,75);cell (81,75);cell (82,75);cell (83,75);cell (84,75);cell (85,75);cell (86,75);cell (87,75);cell (88,75);cell (89,75);cell (90,75);cell (91,75);cell (92,75);cell (93,75);cell (94,75);cell (95,75);cell (96,75);cell (97,75);cell (98,75);cell (99,75);cell (100,75)
cell (0,76);cell (2,76);cell (3,76);cell (4,76);cell (5,76);cell (6,76);cell (7,76);cell (8,76);cell (9,76);cell (10,76);cell (11,76);cell (12,76);cell (13,76);cell (14,76);cell (15,76);cell (16,76);cell (17,76);cell (18,76);cell (19,76);cell (20,76);cell (21,76);cell (22,76);cell (23,76);cell (24,76);cell (25,76);cell (26,76);cell (27,76);cell (28,76);cell (29,76);cell (30,76);cell (31,76);cell (32,76);cell (33,76);cell (34,76);cell (35,76);cell (36,76);cell (37,76);cell (38,76);cell (39,76);cell (40,76);cell (41,76);cell (42,76);cell (43,76);cell (44,76);cell (45,76);cell (46,76);cell (47,76);cell (48,76);cell (49,76);cell (50,76);cell (51,76);cell (52,76);cell (53,76);cell (54,76);cell (55,76);cell (56,76);cell (57,76);cell (58,76);cell (59,76);cell (60,76);cell (61,76);cell (62,76);cell (63,76);cell (64,76);cell (65,76);cell (66,76);cell (67,76);cell (68,76);cell (69,76);cell (70,76);cell (71,76);cell (72,76);cell (73,76);cell (74,76);cell (75,76);cell (76,76);cell (77,76);cell (78,76);cell (79,76);cell (80,76);cell (81,76);cell (82,76);cell (83,76);cell (84,76);cell (85,76);cell (86,76);cell (87,76);cell (88,76);cell (89,76);cell (90,76);cell (91,76);cell (92,76);cell (93,76);cell (94,76);cell (95,76);cell (96,76);cell (97,76);cell (98,76);cell (99,76);cell (100,76)
cell (0,77);cell (2,77);cell (3,77);cell (4,77);cell (5,77);cell (6,77);cell (7,77);cell (8,77);cell (9,77);cell (10,77);cell (11,77);cell (12,77);cell (13,77);cell (14,77);cell (15,77);cell (16,77);cell (17,77);cell (18,77);cell (19,77);cell (20,77);cell (21,77);cell (22,77);cell (23,77);cell (24,77);cell (25,77);cell (26,77);cell (27,77);cell (28,77);cell (29,77);cell (30,77);cell (31,77);cell (32,77);cell (33,77);cell (34,77);cell (35,77);cell (36,77);cell (37,77);cell (38,77);cell (39,77);cell (40,77);cell (41,77);cell (42,77);cell (43,77);cell (44,77);cell (45,77);cell (46,77);cell (47,77);cell (48,77);cell (49,77);cell (50,77);cell (51,77);cell (52,77);cell (53,77);cell (54,77);cell (55,77);cell (56,77);cell (57,77);cell (58,77);cell (59,77);cell (60,77);cell (61,77);cell (62,77);cell (63,77);cell (64,77);cell (65,77);cell (66,77);cell (67,77);cell (68,77);cell (69,77);cell (70,77);cell (71,77);cell (72,77);cell (73,77);cell (74,77);cell (75,77);cell (76,77);cell (77,77);cell (78,77);cell (79,77);cell (80,77);cell (81,77);cell (82,77);cell (83,77);cell (84,77);cell (85,77);cell (86,77);cell (87,77);cell (88,77);cell (89,77);cell (90,77);cell (91,77);cell (92,77);cell (93,77);cell (94,77);cell (95,77);cell (96,77);cell (97,77);cell (98,77);cell (99,77);cell (100,77)
cell (0,78);cell (2,78);cell (3,78);cell (4,78);cell (5,78);cell (6,78);cell (7,78);cell (8,78);cell (9,78);cell (10,78);cell (11,78);cell (12,78);cell (13,78);cell (14,78);cell (15,78);cell (16,78);cell (17,78);cell (18,78);cell (19,78);cell (20,78);cell (21,78);cell (22,78);cell (23,78);cell (24,78);cell (25,78);cell (26,78);cell (27,78);cell (28,78);cell (29,78);cell (30,78);cell (31,78);cell (32,78);cell (33,78);cell (34,78);cell (35,78);cell (36,78);cell (37,78);cell (38,78);cell (39,78);cell (40,78);cell (41,78);cell (42,78);cell (43,78);cell (44,78);cell (45,78);cell (46,78);cell (47,78);cell (48,78);cell (49,78);cell (50,78);cell (51,78);cell (52,78);cell (53,78);cell (54,78);cell (55,78);cell (56,78);cell (57,78);cell (58,78);cell (59,78);cell (60,78);cell (61,78);cell (62,78);cell (63,78);cell (64,78);cell (65,78);cell (66,78);cell (67,78);cell (68,78);cell (69,78);cell (70,78);cell (71,78);cell (72,78);cell (73,78);cell (74,78);cell (75,78);cell (76,78);cell (77,78);cell (78,78);cell (79,78);cell (80,78);cell (81,78);cell (82,78);cell (83,78);cell (84,78);cell (85,78);cell (86,78);cell (87,78);cell (88,78);cell (89,78);cell (90,78);cell (91,78);cell (92,78);cell (93,78);cell (94,78);cell (95,78);cell (96,78);cell (97,78);cell (98,78);cell (99,78);cell (100,78)
cell (0,79);cell (2,79);cell (3,79);cell (4,79);cell (5,79);cell (6,79);cell (7,79);cell (8,79);cell (9,79);cell (10,79);cell (11,79);cell (12,79);cell (13,79);cell (14,79);cell (15,79);cell (16,79);cell (17,79);cell (18,79);cell (19,79);cell (20,79);cell (21,79);cell (22,79);cell (23,79);cell (24,79);cell (25,79);cell (26,79);cell (27,79);cell (28,79);cell (29,79);cell (30,79);cell (31,79);cell (32,79);cell (33,79);cell (34,79);cell (35,79);cell (36,79);cell (37,79);cell (38,79);cell (39,79);cell (40,79);cell (41,79);cell (42,79);cell (43,79);cell (44,79);cell (45,79);cell (46,79);cell (47,79);cell (48,79);cell (49,79);cell (50,79);cell (51,79);cell (52,79);cell (53,79);cell (54,79);cell (55,79);cell (56,79);cell (57,79);cell (58,79);cell (59,79);cell (60,79);cell (61,79);cell (62,79);cell (63,79);cell (64,79);cell (65,79);cell (66,79);cell (67,79);cell (68,79);cell (69,79);cell (70,79);cell (71,79);cell (72,79);cell (73,79);cell (74,79);cell (75,79);cell (76,79);cell (77,79);cell (78,79);cell (79,79);cell (80,79);cell (81,79);cell (82,79);cell (83,79);cell (84,79);cell (85,79);cell (86,79);cell (87,79);cell (88,79);cell (89,79);cell (90,79);cell (91,79);cell (92,79);cell (93,79);cell (94,79);cell (95,79);cell (96,79);cell (97,79);cell (98,79);cell (99,79);cell (100,79)
cell (0,80);cell (2,80);cell (3,80);cell (4,80);cell (5,80);cell (6,80);cell (7,80);cell (8,80);cell (9,80);cell (10,80);cell (11,80);cell (12,80);cell (13,80);cell (14,80);cell (15,80);cell (16,80);cell (17,80);cell (18,80);cell (19,80);cell (20,80);cell (21,80);cell (22,80);cell (23,80);cell (24,80);cell (25,80);cell (26,80);cell (27,80);cell (28,80);cell (29,80);cell (30,80);cell (31,80);cell (32,80);cell (33,80);cell (34,80);cell (35,80);cell (36,80);cell (37,80);cell (38,80);cell (39,80);cell (40,80);cell (41,80);cell (42,80);cell (43,80);cell (44,80);cell (45,80);cell (46,80);cell (47,80);cell (48,80);cell (49,80);cell (50,80);cell (51,80);cell (52,80);cell (53,80);cell (54,80);cell (55,80);cell (56,80);cell (57,80);cell (58,80);cell (59,80);cell (60,80);cell (61,80);cell (62,80);cell (63,80);cell (64,80);cell (65,80);cell (66,80);cell (67,80);cell (68,80);cell (69,80);cell (70,80);cell (71,80);cell (72,80);cell (73,80);cell (74,80);cell (75,80);cell (76,80);cell (77,80);cell (78,80);cell (79,80);cell (80,80);cell (81,80);cell (82,80);cell (83,80);cell (84,80);cell (85,80);cell (86,80);cell (87,80);cell (88,80);cell (89,80);cell (90,80);cell (91,80);cell (92,80);cell (93,80);cell (94,80);cell (95,80);cell (96,80);cell (97,80);cell (98,80);cell (99,80);cell (100,80)
cell (0,81);cell (2,81);cell (3,81);cell (4,81);cell (5,81);cell (6,81);cell (7,81);cell (8,81);cell (9,81);cell (10,81);cell (11,81);cell (12,81);cell (13,81);cell (14,81);cell (15,81);cell (16,81);cell (17,81);cell (18,81);cell (19,81);cell (20,81);cell (21,81);cell (22,81);cell (23,81);cell (24,81);cell (25,81);cell (26,81);cell (27,81);cell (28,81);cell (29,81);cell (30,81);cell (31,81);cell (32,81);cell (33,81);cell (34,81);cell (35,81);cell (36,81);cell (37,81);cell (38,81);cell (39,81);cell (40,81);cell (41,81);cell (42,81);cell (43,81);cell (44,81);cell (45,81);cell (46,81);cell (47,81);cell (48,81);cell (49,81);cell (50,81);cell (51,81);cell (52,81);cell (53,81);cell (54,81);cell (55,81);cell (56,81);cell (57,81);cell (58,81);cell (59,81);cell (60,81);cell (61,81);cell (62,81);cell (63,81);cell (64,81);cell (65,81);cell (66,81);cell (67,81);cell (68,81);cell (69,81);cell (70,81);cell (71,81);cell (72,81);cell (73,81);cell (74,81);cell (75,81);cell (76,81);cell (77,81);cell (78,81);cell (79,81);cell (80,81);cell (81,81);cell (82,81);cell (83,81);cell (84,81);cell (85,81);cell (86,81);cell (87,81);cell (88,81);cell (89,81);cell (90,81);cell (91,81);cell (92,81);cell (93,81);cell (94,81);cell (95,81);cell (96,81);cell (97,81);cell (98,81);cell (99,81);cell (100,81)
cell (0,82);cell (2,82);cell (3,82);cell (4,82);cell (5,82);cell (6,82);cell (7,82);cell (8,82);cell (9,82);cell (10,82);cell (11,82);cell (12,82);cell (13,82);cell (14,82);cell (15,82);cell (16,82);cell (17,82);cell (18,82);cell (19,82);cell (20,82);cell (21,82);cell (22,82);cell (23,82);cell (24,82);cell (25,82);cell (26,82);cell (27,82);cell (28,82);cell (29,82);cell (30,82);cell (31,82);cell (32,82);cell (33,82);cell (34,82);cell (35,82);cell (36,82);cell (37,82);cell (38,82);cell (39,82);cell (40,82);cell (41,82);cell (42,82);cell (43,82);cell (44,82);cell (45,82);cell (46,82);cell (47,82);cell (48,82);cell (49,82);cell (50,82);cell (51,82);cell (52,82);cell (53,82);cell (54,82);cell (55,82);cell (56,82);cell (57,82);cell (58,82);cell (59,82);cell (60,82);cell (61,82);cell (62,82);cell (63,82);cell (64,82);cell (65,82);cell (66,82);cell (67,82);cell (68,82);cell (69,82);cell (70,82);cell (71,82);cell (72,82);cell (73,82);cell (74,82);cell (75,82);cell (76,82);cell (77,82);cell (78,82);cell (79,82);cell (80,82);cell (81,82);cell (82,82);cell (83,82);cell (84,82);cell (85,82);cell (86,82);cell (87,82);cell (88,82);cell (89,82);cell (90,82);cell (91,82);cell (92,82);cell (93,82);cell (94,82);cell (95,82);cell (96,82);cell (97,82);cell (98,82);cell (99,82);cell (100,82)
cell (0,83);cell (2,83);cell (3,83);cell (4,83);cell (5,83);cell (6,83);cell (7,83);cell (8,83);cell (9,83);cell (10,83);cell (11,83);cell (12,83);cell (13,83);cell (14,83);cell (15,83);cell (16,83);cell (17,83);cell (18,83);cell (19,83);cell (20,83);cell (21,83);cell (22,83);cell (23,83);cell (24,83);cell (25,83);cell (26,83);cell (27,83);cell (28,83);cell (29,83);cell (30,83);cell (31,83);cell (32,83);cell (33,83);cell (34,83);cell (35,83);cell (36,83);cell (37,83);cell (38,83);cell (39,83);cell (40,83);cell (41,83);cell (42,83);cell (43,83);cell (44,83);cell (45,83);cell (46,83);cell (47,83);cell (48,83);cell (49,83);cell (50,83);cell (51,83);cell (52,83);cell (53,83);cell (54,83);cell (55,83);cell (56,83);cell (57,83);cell (58,83);cell (59,83);cell (60,83);cell (61,83);cell (62,83);cell (63,83);cell (64,83);cell (65,83);cell (66,83);cell (67,83);cell (68,83);cell (69,83);cell (70,83);cell (71,83);cell (72,83);cell (73,83);cell (74,83);cell (75,83);cell (76,83);cell (77,83);cell (78,83);cell (79,83);cell (80,83);cell (81,83);cell (82,83);cell (83,83);cell (84,83);cell (85,83);cell (86,83);cell (87,83);cell (88,83);cell (89,83);cell (90,83);cell (91,83);cell (92,83);cell (93,83);cell (94,83);cell (95,83);cell (96,83);cell (97,83);cell (98,83);cell (99,83);cell (100,83)
